Record ID,Condition Name,Created By ID,Created Date,Currency ISO Code,Deleted,Enable Smart Approval,Filter Field,Filter Type,Filter Value,Index,Last Modified By ID,Last Modified Date,Operator,System Modstamp,Tested Field,sbaa__ApprovalRule__r.Rule Name,sbaa__FilterVariable__r.Variable Name,sbaa__TestedVariable__r.Variable Name
"a260J00000033UuQAI","AC-000184","0050J000006WrgFQAS","02/22/2017T13:02:10.000Z","USD","false","true","","Value","TRUE","","0050J000006WrgFQAS","02/22/2017T13:02:10.000Z","equals","02/23/2017T02:34:04.000Z","Approvals_Required__c","CRO Blank","",""
"a260J00000033VEQAY","AC-000188","0050J000006WrgFQAS","02/22/2017T13:03:03.000Z","USD","false","true","","Value","TRUE","","0050J000006WrgFQAS","02/22/2017T13:03:03.000Z","equals","02/23/2017T02:34:04.000Z","Approvals_Required__c","FLM Anders Søgaard","",""
"a260J00000033WWQAY","AC-000204","0050J000006WrgFQAS","02/22/2017T13:06:35.000Z","USD","false","true","","Value","TRUE","","0050J000006WrgFQAS","02/22/2017T13:06:35.000Z","equals","02/23/2017T02:34:04.000Z","Approvals_Required__c","RVP Humbert Larenaudie","",""
"a260J00000032t2QAA","AC-000120","0050J000006WjRgQAK","02/08/2017T13:02:26.000Z","USD","false","true","","Value","0","","0050J000006WjRgQAK","02/08/2017T13:02:26.000Z","greater than","02/08/2017T13:02:26.000Z","Lines_Requiring_line_Manager_Approval__c","FLM Suzie Kim","",""
"a260J00000032t3QAA","AC-000121","0050J000006WjRgQAK","02/08/2017T13:02:26.000Z","USD","false","false","","Value","00520000004mMXA","","0050J000006WjRgQAK","02/08/2017T13:02:31.000Z","equals","02/09/2017T16:09:47.000Z","Manager_FLM__c","FLM Suzie Kim","",""
"a260J00000032tvQAA","AC-000140","0050J000006WjRgQAK","02/08/2017T13:37:50.000Z","USD","false","true","","Value","0","","0050J000006WjRgQAK","02/08/2017T13:37:56.000Z","greater than","02/09/2017T16:09:47.000Z","Lines_Requiring_CRO_Approval__c","CRO ManagerCRO - zTestCPQ","",""
"a260J00000032twQAA","AC-000141","0050J000006WjRgQAK","02/08/2017T13:37:50.000Z","USD","false","false","","Value","0050J000006X81s","","0050J000006WjRgQAK","02/08/2017T13:45:56.000Z","equals","02/09/2017T16:09:47.000Z","Manager_CRO__c","CRO ManagerCRO - zTestCPQ","",""
"a260J00000032tWQAQ","AC-000132","0050J000006WjRgQAK","02/08/2017T13:10:29.000Z","USD","false","true","","Value","0","","0050J000006WjRgQAK","02/08/2017T13:12:08.000Z","greater than","02/09/2017T16:09:47.000Z","Lines_Requiring_CFO_Approval__c","CRO Anders Søgaard","",""
"a260J00000032tXQAQ","AC-000133","0050J000006WjRgQAK","02/08/2017T13:10:29.000Z","USD","false","false","","Value","00520000003Nv7D","","0050J000006WjRgQAK","02/08/2017T13:12:28.000Z","equals","02/09/2017T16:09:47.000Z","Manager_CFO__c","CRO Anders Søgaard","",""
"a260J00000032ssQAA","AC-000116","0050J000006WjRgQAK","02/08/2017T13:00:13.000Z","USD","false","true","","Value","0","","0050J000006WjRgQAK","02/08/2017T13:00:13.000Z","greater than","02/08/2017T13:00:13.000Z","Lines_Requiring_line_Manager_Approval__c","FLM Quentin Staes-Polet","",""
"a260J00000032stQAA","AC-000117","0050J000006WjRgQAK","02/08/2017T13:00:13.000Z","USD","false","false","","Value","00520000005XqcO","","0050J000006WjRgQAK","02/08/2017T13:00:21.000Z","equals","02/09/2017T16:09:47.000Z","Manager_FLM__c","FLM Quentin Staes-Polet","",""
"a260J00000033ViQAI","AC-000193","0050J000006WrgFQAS","02/22/2017T13:04:11.000Z","USD","false","true","","Value","TRUE","","0050J000006WrgFQAS","02/22/2017T13:04:11.000Z","equals","02/23/2017T02:34:04.000Z","Approvals_Required__c","FLM ManagerFLM - zTestCPQ","",""
"a260J00000033W7QAI","AC-000199","0050J000006WrgFQAS","02/22/2017T13:05:31.000Z","USD","false","true","","Value","TRUE","","0050J000006WrgFQAS","02/22/2017T13:05:31.000Z","equals","02/23/2017T02:34:04.000Z","Approvals_Required__c","ManagerCFO - zTestCPQ","",""
"a260J00000033VsQAI","AC-000196","0050J000006WrgFQAS","02/22/2017T13:04:50.000Z","USD","false","true","","Value","TRUE","","0050J000006WrgFQAS","02/22/2017T13:04:50.000Z","equals","02/23/2017T02:34:04.000Z","Approvals_Required__c","FLM Raphael Ruland","",""
"a260J000000338QQAQ","AC-000179","0050J000006WjRgQAK","02/15/2017T12:47:20.000Z","USD","false","true","","Value","0","","0050J000006WrgFQAS","02/16/2017T10:52:52.000Z","greater than","02/17/2017T02:35:01.000Z","Lines_Requiring_CFO_Approval__c","CFO Blank","",""
"a260J000000338RQAQ","AC-000180","0050J000006WjRgQAK","02/15/2017T12:47:20.000Z","USD","false","false","","Value","","","0050J000006WjRgQAK","02/15/2017T12:47:25.000Z","equals","02/17/2017T02:35:01.000Z","Manager_CFO__c","CFO Blank","",""
"a260J00000032qCQAQ","AC-000095","0050J000006WjRgQAK","02/07/2017T10:44:15.000Z","USD","false","false","","Value","0","1.0","0050J000006WjRgQAK","02/07/2017T10:44:15.000Z","greater than","02/07/2017T10:44:15.000Z","Lines_Requiring_line_Manager_Approval__c","FLM","",""
"a260J00000032qDQAQ","AC-000096","0050J000006WjRgQAK","02/07/2017T10:44:15.000Z","USD","false","false","","Value","FALSE","2.0","0050J000006WjRgQAK","02/07/2017T10:44:15.000Z","equals","02/07/2017T10:44:15.000Z","Above_20000_USD__c","FLM","",""
"a260J00000032sTQAQ","AC-000108","0050J000006WjRgQAK","02/08/2017T12:49:57.000Z","USD","false","true","","Value","0","","0050J000006WjRgQAK","02/08/2017T12:49:57.000Z","greater than","02/08/2017T12:49:57.000Z","Lines_Requiring_line_Manager_Approval__c","FLM Andrew Tang","",""
"a260J00000032sUQAQ","AC-000109","0050J000006WjRgQAK","02/08/2017T12:49:57.000Z","USD","false","false","","Value","00520000004mQSd","","0050J000006WjRgQAK","02/08/2017T12:50:32.000Z","equals","02/09/2017T16:09:47.000Z","Manager_FLM__c","FLM Andrew Tang","",""
