Condition #,Created By ID,Created Date,Currency ISO Code,Deleted,Field,Filter Formula,Filter Type,Filter Value,Index,Last Modified By ID,Last Modified Date,Object,Operator,ParentRuleIsActive,RuleTargetsCalculator,System Modstamp,Tested Formula,SBQQ__Rule__r.Price Rule Name,SBQQ__FilterVariable__r.Variable Name,SBQQ__TestedVariable__r.Variable Name
"345","0050J000006WjRgQAK","02/22/2017T16:31:04.000Z","USD","false","SBQQ__SubscriptionPricing__c","","Value","Fixed Price","","0050J000006WjRgQAK","02/22/2017T16:31:04.000Z","Quote Line","equals","true","true","02/23/2017T02:34:03.000Z","","Set Non-MDQ Subscriptions to 12 Months","",""
"356","0050J000006WjRgQAK","02/27/2017T10:05:44.000Z","USD","false","SBQQ__RegularPrice__c","","Value","","","0050J000006WjRgQAK","02/27/2017T10:05:44.000Z","Quote Line","equals","false","true","02/28/2017T02:32:52.000Z","","Fix Customer and Regular Prices","",""
"350","0050J000006WjRgQAK","02/27/2017T08:20:52.000Z","USD","false","Name","","Value","Q-02404","200.0","0050J000006WjRgQAK","02/27/2017T08:21:32.000Z","Quote","equals","false","true","02/28/2017T02:32:52.000Z","","Set Payment Method to Invoice - IGNORE","",""
"37","00520000002CI2kAAG","11/24/2016T03:27:43.000Z","USD","false","","","Value","1","","00520000002CI2kAAG","11/24/2016T03:27:43.000Z","Summary Variable","greater or equals","true","true","11/25/2016T02:34:25.000Z","","Included Reviews - Studio","","Support Plan - Studio"
"317","0050J000006WjRgQAK","02/21/2017T09:21:55.000Z","USD","false","Product Code","","Value","","","0050J000006WjRgQAK","02/21/2017T09:21:55.000Z","Quote Line","not equals","true","true","02/21/2017T09:21:55.000Z","","Insert Final Unit Price into Special Price and Net Price","",""
"318","0050J000006WjRgQAK","02/21/2017T09:21:55.000Z","USD","false","Product Code","","Value","","101.0","0050J000006WjRgQAK","02/27/2017T09:02:30.000Z","Quote Line","not equals","false","true","02/28/2017T02:32:52.000Z","","Insert Prorate Multiplier","",""
"319","0050J000006WjRgQAK","02/21/2017T09:21:55.000Z","USD","false","CurrencyIsoCode","","Value","JPY","7.0","00520000003NtdlAAC","02/22/2017T15:36:54.000Z","Quote","equals","false","true","02/22/2017T15:36:54.000Z","","Set Payment Method to Invoice - IGNORE","",""
"320","0050J000006WjRgQAK","02/21/2017T09:21:55.000Z","USD","false","SBQQ__NetAmount__c","","Value","18000000","16.0","00520000003NtdlAAC","02/22/2017T15:36:54.000Z","Quote","greater than","false","true","02/22/2017T15:36:54.000Z","","Set Payment Method to Invoice - IGNORE","",""
"321","0050J000006WjRgQAK","02/21/2017T09:21:55.000Z","USD","false","SBQQ__NetAmount__c","","Value","15000","19.0","00520000003NtdlAAC","02/22/2017T15:36:54.000Z","Quote","greater than","false","true","02/22/2017T15:36:54.000Z","","Set Payment Method to Invoice - IGNORE","",""
"322","0050J000006WjRgQAK","02/21/2017T09:21:55.000Z","USD","false","CurrencyIsoCode","","Value","KRW","6.0","00520000003NtdlAAC","02/22/2017T15:36:54.000Z","Quote","equals","false","true","02/22/2017T15:36:54.000Z","","Set Payment Method to Invoice - IGNORE","",""
