Active,Advanced Condition,Calculator Evaluation Event,Conditions Met,Configurator Evaluation Event,Created By ID,Created Date,Currency ISO Code,Deleted,Evaluation Order,Evaluation Scope,Last Modified By ID,Last Modified Date,Last Referenced Date,Last Viewed Date,Lookup Object,New,Owner ID,Price Rule Name,System Modstamp,SBQQ__Product__r.Product Name
"true","","On Calculate","All","","0050J000006WjRgQAK","02/22/2017T16:30:49.000Z","USD","false","80.0","Calculator","0050J000006WjRgQAK","02/22/2017T16:30:49.000Z","02/23/2017T09:23:20.000Z","02/23/2017T09:23:20.000Z","","true","0050J000006WjRgQAK","Set Non-MDQ Subscriptions to 12 Months","02/24/2017T02:32:49.000Z",""
"true","","Before Calculate;On Calculate","All","","0050J000006WjRgQAK","02/27/2017T09:48:19.000Z","USD","false","1.0","Calculator","0050J000006WjRgQAK","02/27/2017T09:48:19.000Z","02/27/2017T09:49:08.000Z","02/27/2017T09:49:08.000Z","","false","0050J000006WjRgQAK","Prorate Multiplier Copy","02/28/2017T02:32:52.000Z",""
"true","","On Initialization;Before Calculate;On Calculate;After Calculate","Any","","00520000002CI2kAAG","10/26/2016T18:25:52.000Z","USD","false","21.0","Calculator","0050J000006WjRgQAK","12/06/2016T15:06:01.000Z","11/24/2016T14:21:32.000Z","11/24/2016T14:21:32.000Z","","false","00520000002CI2kAAG","No Discount on Support","12/06/2016T15:06:01.000Z",""
"false","(5 AND 15) OR (6 AND 16) OR (7 AND 17) OR (8 AND 18) OR (9 AND 19) AND 200","On Calculate","Custom","","0050J000006WjRgQAK","02/21/2017T09:19:20.000Z","USD","false","25.0","Calculator","0050J000006WjRgQAK","02/27/2017T08:35:17.000Z","02/27/2017T12:49:27.000Z","02/27/2017T12:49:27.000Z","","true","0050J000006WjRgQAK","Set Payment Method to Invoice - IGNORE","02/28/2017T02:32:52.000Z",""
"true","","Before Calculate","All","","0050J000006WjRgQAK","02/21/2017T09:18:23.000Z","USD","false","3.0","Calculator","0050J000006WjRgQAK","02/27/2017T12:49:19.000Z","02/28/2017T14:07:20.000Z","02/28/2017T14:07:20.000Z","","true","0050J000006WjRgQAK","Insert Final Unit Price into Special Price and Net Price","03/01/2017T02:33:52.000Z",""
"false","","On Calculate;After Calculate","All","","0050J000006WjRgQAK","02/21/2017T09:18:23.000Z","USD","false","2.0","Calculator","0050J000006WjRgQAK","02/27/2017T09:04:54.000Z","02/27/2017T09:04:56.000Z","02/27/2017T09:04:56.000Z","","true","0050J000006WjRgQAK","Insert Prorate Multiplier","02/28/2017T02:32:52.000Z",""
"true","","On Calculate","All","","0050J000006WjRgQAK","02/21/2017T09:18:23.000Z","USD","false","1.0","Calculator","0050J000006WjRgQAK","02/22/2017T16:09:25.000Z","02/28/2017T10:58:56.000Z","02/28/2017T10:58:56.000Z","","true","0050J000006WjRgQAK","Populate Adjusted Quantity","03/01/2017T02:33:52.000Z",""
"true","","On Initialization;On Calculate","All","","0050J000006WjRgQAK","02/21/2017T09:18:23.000Z","USD","false","90.0","Calculator","0050J000006WjRgQAK","02/22/2017T16:09:46.000Z","02/22/2017T16:23:05.000Z","02/22/2017T16:23:05.000Z","","true","0050J000006WjRgQAK","Populate Seats Checkbox","02/23/2017T02:34:04.000Z",""
"true","","Before Calculate","All","","0050J000006WjRgQAK","02/21/2017T09:18:23.000Z","USD","false","15.0","Calculator","0050J000006WjRgQAK","02/28/2017T11:14:02.000Z","02/28/2017T11:14:05.000Z","02/28/2017T11:14:05.000Z","","true","0050J000006WjRgQAK","Amendment: Populate Segment Dates","03/01/2017T02:33:52.000Z",""
"true","","On Calculate","All","","0050J000006WjRgQAK","02/21/2017T09:18:23.000Z","USD","false","35.0","Calculator","0050J000006WjRgQAK","02/22/2017T16:08:20.000Z","02/22/2017T16:22:15.000Z","02/22/2017T16:22:15.000Z","","true","0050J000006WjRgQAK","Amendment: Transfer Seat Counts to Subsequent Years","02/23/2017T02:34:04.000Z",""
