Created By ID,Created Date,Currency ISO Code,Deleted,Filter Field,Filter Value,Last Modified By ID,Last Modified Date,Operator,Produce Code,Product Action #,Product Description,Required,System Modstamp,Type,Value Field,Value Object,SBQQ__Rule__r.Product Rule Name,SBQQ__Product__r.Product Name
"00520000002CI2kAAG","11/08/2016T00:07:56.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T00:15:58.000Z","","SKU100292","PA-0000073","Additional Studio Project Review(s)","false","11/09/2016T02:32:59.000Z","Hide & Remove","","","Enterprise","Project Review"
"00520000002CI2kAAG","11/08/2016T00:14:10.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T21:22:58.000Z","","SKU100299","PA-0000084","Small: 2 to10 Seats-Full Source","false","11/09/2016T02:32:59.000Z","Show","","","Enterprise","Full Source"
"00520000002CI2kAAG","11/08/2016T00:07:44.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T00:15:21.000Z","","SKU100291","PA-0000072","Additional Studio Starter Project Review(s)","false","11/09/2016T02:32:59.000Z","Hide & Remove","","","Enterprise","Project Review"
"00520000002CI2kAAG","11/08/2016T00:06:52.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T00:16:41.000Z","","SKU100132","PA-0000069","Max Seat Limit = 10 - 0 Included","false","11/09/2016T02:32:59.000Z","Hide & Remove","","","Enterprise","Studio Starter Support"
"00520000002CI2kAAG","11/08/2016T00:14:21.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T21:22:44.000Z","","SKU100300","PA-0000085","Medium: 10 to 50 Seats-Full Source","false","11/09/2016T02:32:59.000Z","Show","","","Enterprise","Full Source"
"00520000002CI2kAAG","11/08/2016T00:08:32.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T00:15:35.000Z","","SKU100295","PA-0000075","Additional Enterprise Plus Studio Project Review(s)","false","11/09/2016T02:32:59.000Z","Hide & Remove","","","Enterprise","Enterprise Plus Studio Review"
"00520000002CI2kAAG","11/08/2016T00:08:16.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T00:15:46.000Z","","SKU100293","PA-0000074","Additional Enterprise Starter Project Review(s)","false","11/09/2016T02:32:59.000Z","Hide & Remove","","","Enterprise","Enterprise Project Review"
"00520000002CI2kAAG","11/08/2016T00:07:30.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T00:16:16.000Z","","SKU100135","PA-0000071","Max Seat Limit = 75 - 1 Included","false","11/09/2016T02:32:59.000Z","Hide & Remove","","","Enterprise","Enterprise Starter Support"
"00520000002CI2kAAG","11/08/2016T00:07:13.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T00:16:30.000Z","","SKU100134","PA-0000070","Max Seat Limit = 50 - 0 Included","false","11/09/2016T02:32:59.000Z","Hide & Remove","","","Enterprise","Studio Support"
"00520000002CI2kAAG","11/08/2016T00:31:43.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T00:31:43.000Z","","SKU100132","PA-0000089","Max Seat Limit = 10 - 0 Included","false","11/09/2016T02:32:59.000Z","Hide & Remove","","","Enterprise Plus Studios","Studio Starter Support"
"00520000002CI2kAAG","11/08/2016T00:33:35.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T21:28:23.000Z","","SKU100297","PA-0000098","Medium: 10 to 50 Seats-Read-Only Source","false","11/09/2016T02:32:59.000Z","Show","","","Enterprise Plus Studios","Read-Only Source"
"00520000002CI2kAAG","11/08/2016T00:33:46.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T21:28:35.000Z","","SKU100299","PA-0000099","Small: 2 to10 Seats-Full Source","false","11/09/2016T02:32:59.000Z","Show","","","Enterprise Plus Studios","Full Source"
"00520000002CI2kAAG","11/08/2016T00:24:11.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T00:24:11.000Z","","SKU100293","PA-0000088","Additional Enterprise Starter Project Review(s)","false","11/09/2016T02:32:59.000Z","Hide & Remove","","","Studio","Enterprise Project Review"
"00520000002CI2kAAG","11/07/2016T19:32:24.000Z","USD","false","","","00520000002CI2kAAG","11/07/2016T19:56:24.000Z","","SKU100296","PA-0000021","Small: 2 to 10 Seats-Read-Only Source","false","11/08/2016T02:33:27.000Z","Show","","","Studio Starter","Read-Only Source"
"00520000002CI2kAAG","11/07/2016T19:49:33.000Z","USD","false","","","00520000002CI2kAAG","11/07/2016T22:47:54.000Z","","SKU100135","PA-0000028","Max Seat Limit = 75 - 1 Included","false","11/08/2016T02:33:27.000Z","Hide & Remove","","","Support Level = None","Enterprise Starter Support"
"00520000002CI2kAAG","11/07/2016T19:21:28.000Z","USD","false","","","00520000002CI2kAAG","11/07/2016T19:21:28.000Z","","SKU100291","PA-0000013","Additional Studio Starter Project Review(s)","false","11/09/2016T02:32:59.000Z","Hide & Remove","","","Enterprise Starter","Project Review"
"00520000002CI2kAAG","11/07/2016T19:21:44.000Z","USD","false","","","00520000002CI2kAAG","11/07/2016T19:21:44.000Z","","SKU100292","PA-0000014","Additional Studio Project Review(s)","false","11/08/2016T02:33:27.000Z","Hide & Remove","","","Enterprise Starter","Project Review"
"00520000002CI2kAAG","11/07/2016T19:24:21.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T21:24:02.000Z","","SKU100132","PA-0000015","Max Seat Limit = 10 - 0 Included","false","11/09/2016T02:32:59.000Z","Show & Add","","","Studio Starter","Studio Starter Support"
"00520000002CI2kAAG","11/07/2016T19:24:49.000Z","USD","false","","","00520000002CI2kAAG","11/07/2016T23:07:17.000Z","","SKU100291","PA-0000016","Additional Studio Starter Project Review(s)","false","11/08/2016T02:33:27.000Z","Show","","","Studio Starter","Project Review"
"00520000002CI2kAAG","11/07/2016T19:32:45.000Z","USD","false","","","00520000002CI2kAAG","11/08/2016T21:00:41.000Z","","SKU100299","PA-0000022","Small: 2 to10 Seats-Full Source","false","11/09/2016T02:32:59.000Z","Hide & Remove","","","Studio Starter","Full Source"
"00520000002CI2kAAG","11/07/2016T19:26:30.000Z","USD","false","","","00520000002CI2kAAG","11/07/2016T23:06:33.000Z","","SKU100292","PA-0000018","Additional Studio Project Review(s)","false","11/08/2016T02:33:27.000Z","Hide & Remove","","","Studio Starter","Project Review"
